Ticker,Description,Price,Market Capitalization,Enterprise Value (MRQ),Free Cash Flow (Annual YoY Growth),EBITDA (Annual YoY Growth),EPS Diluted (Annual YoY Growth),Gross Profit (Annual YoY Growth),Net Income (Annual YoY Growth),Yearly Performance,Monthly Performance,Change %,Gross Margin (TTM),Operating Margin (TTM),Pretax Margin (TTM),Net Margin (TTM),Industry
MCD,McDonald's Corporation,274.52,201969084283,,53.565868,30.60526168,59.14056925,28.73282914,59.50110982,12.78553821,16.25799348,18.97373667,55.12095318,43.60547083,32.64231556,25.41478259,Restaurants
TMO,Thermo Fisher Scientific Inc,503.84,197398953687,226700000000,-0.38151137,26.29622383,21.78702417,22.50577151,21.17647059,-18.07479675,-1.33939062,-0.66050198,42.64948944,20.84135214,17.93194014,15.92138927,Medical Specialties
AVGO,Broadcom Inc.,472.9,197030821059.00003,259801000000,14.85600966,30.74942284,137.21345686,33.49775785,127.56756757,-9.77601404,2.50574414,6.50661021,60.49873737,40.75757576,34.66856061,31.96022727,Semiconductors
DIS,Walt Disney Company (The),105.95,193152961910.99997,227454000000,-44.68558709,-0.78457745,168.89716558,8.22776872,169.65782123,-37.485249,10.60653513,12.31845648,29.13021227,9.66539127,6.33514488,3.88833378,Cable/Satellite TV
ACN,Accenture plc,287.78,191311309383.99997,180951000000,5.09963293,12.00929088,16.979607,20.20434566,16.42782084,-19.03556156,11.9766537,11.84609405,32.13578593,15.35767958,14.93022285,11.16526763,Information Technology Services
TMUS,"T-Mobile US, Inc.",151,187867280396,276224000000,432.49042146,11.78538155,-9.17313635,9.50360469,-1.30548303,29.18128155,12.30523223,12.54378773,40.81765169,14.7796661,1.80812407,1.91676136,Wireless Telecommunications
CSCO,"Cisco Systems, Inc.",45.64,187527648527.00003,178990000000,-13.63636364,3.90433096,12.70298376,0.80810632,11.52865641,-18.83336297,11.72582619,14.1,62.32519348,27.3425529,28.07960122,22.91056501,Telecommunications Equipment
DHR,Danaher Corporation,251.8,183301011975.00003,206236000000,30.40428281,67.86594381,76.33464341,43.90380762,76.43993417,-17.64513491,-4.7907135,-2.51267955,60.6496,27.3472,26.1888,21.648,Electronic Equipment/Instruments
WFC,Wells Fargo & Company,46.35,175807841343.99997,353283000000,47.04493024,,1044.69907407,,538.0811371,-7.99920603,16.16541353,15.24117355,,21.64919869,28.52825376,22.27582765,Major Banks
ABT,Abbott Laboratories,99.49,174228846855,,51.08315863,47.80691576,57.16909563,33.59037809,57.43348983,-22.29165039,1.44794535,2.82141381,59.2071952,20.9526982,20.68176771,17.46169221,Medical Specialties
BABA,Alibaba Group Holding Limited,63.74,166571929005.56927,271396000000,-49.90025166,7.79894569,-56.06983001,12.08010403,-56.44938142,-62.16986171,-16.66339805,-20.31503938,34.75820665,10.41115136,4.93839564,3.71085416,Internet Retail
BMY,Bristol-Myers Squibb Company,76.83,163352888698,183683000000,14.54996616,35.52543731,178.0313087,23.32258065,177.5818081,35.91013621,8.10468552,8.07427205,57.34734049,20.27044375,16.5004921,14.28601994,Pharmaceuticals: Major
CRM,"Salesforce, Inc.",163.02,163020004272,184990000000,23.63340784,19.15576967,-66.13908873,21.64090369,-64.53831041,-44.75209272,11.65753425,13.33426029,63.68008186,0.25579809,0.86630286,1.82810368,Packaged Software
COP,ConocoPhillips,127.17,161891645633.99997,124853000000,13316.09195402,311.10180142,342.78187986,2379.72136223,399.11144021,70.9963695,28.67550339,24.26226304,38.1455864,33.13172248,35.75824979,24.23900789,Oil & Gas Production
VZ,Verizon Communications Inc.,37.67,158207113120,331547000000,-18.33644384,3.40009015,23.71501035,1.21747197,23.95371047,-28.58767773,-3.55862775,-0.79009745,44.49064143,22.74218399,18.87490693,14.22178974,Major Telecommunications
NEE,"NextEra Energy, Inc.",79.03,156986387760.00003,225607000000,-223.66071429,35.20383693,22.19749089,54.56923614,22.4049332,-6.93593971,-3.96159922,0.79071547,42.29346971,34.41384736,13.5877262,15.06294256,Electric Utilities
SCHW,Charles Schwab Corporation (The),80.19,152127472297,66893700000,-72.00073042,78.50953206,33.24059229,59.0714896,77.47802364,-1.6194332,11.9972067,11.57645749,88.57156571,45.12335605,42.30104637,32.61495632,Investment Banks/Brokers
ADBE,Adobe Inc.,325.68,151408626607.00003,171535000000,29.65335343,33.82087758,-7.46894095,25.34377561,-8.3269962,-48.95297806,16.15664455,18.34302326,86.70218995,35.0216653,34.8928446,28.18245696,Packaged Software
LIN,Linde plc,301.8,149203732075,147998000000,64.78034252,16.47680564,55.70020813,19.09040641,52.97880848,-4.62948333,13.27128059,11.94777254,27.92998253,18.23001511,15.35408583,11.38228238,Chemicals: Specialty
NKE,"Nike, Inc.",93.83,146814653897.99997,169523000000,-25.69607514,-4.82478415,5.47702684,8.43506657,5.57010651,-42.43911416,-3.37761302,12.88498556,45.14284504,13.04771384,13.49668566,11.94434444,Apparel/Footwear
AMGN,Amgen Inc.,273.81,146469413957.00003,159991000000,-15.24926686,-0.09552619,-16.46699535,2.33666894,-18.87389868,32.21787629,19.06853366,21.47737356,75.66652721,35.24512228,28.49427604,25.01045906,Biotechnology
TXN,Texas Instruments Incorporated,161.36,146445772697,141709000000,14.64480874,44.25470333,38.49324709,34.86936391,38.93678161,-14.06507962,-0.09905894,4.25119524,69.50965825,53.14512135,51.15403665,44.01188707,Semiconductors
UPS,"United Parcel Service, Inc.",167.17,145413522850,153377000000,114.24608678,52.45870515,852.14345937,-19.97429188,859.79151154,-21.6231422,1.14351404,3.4852049,21.73012712,13.68387678,14.1881917,11.08502016,Air Freight/Couriers
PM,Philip Morris International Inc,92.53,143440214198,152419000000,21.81324647,7.0908394,12.95682351,11.40277194,13.02887008,-2.0328216,6.01512374,11.46849777,67.42817365,39.40007594,36.88140742,27.59144412,Tobacco
MS,Morgan Stanley,82.22,141157459984,377946000000,790.23839398,,24.19457119,,36.72244453,-19.30513299,3.08425276,4.06277686,,26.23412335,26.48127537,20.4416001,Investment Banks/Brokers
RTX,Raytheon Technologies Corporation,95.08,139773382702,152281000000,172.61181668,68.78896656,198.83474168,38.70144284,209.80392157,6.40107431,17.05755617,16.14952358,20.50194629,7.70943459,7.94268664,6.78399952,Aerospace & Defense
CMCSA,Comcast Corporation,31.95,138132912237,221329000000,28.37125595,12.31103614,33.54549844,11.83753902,34.41237896,-36.60097906,4.17345941,8.93283328,56.92140152,18.90504987,7.83674749,4.45916625,Cable/Satellite TV
HON,Honeywell International Inc.,204.93,137778996970,124085000000,-2.99886835,9.27043335,17.75403298,5.09297351,15.9656832,-4.40806045,19.24240661,22.73462299,34.05479687,19.97194308,19.99198374,15.38835924,Industrial Conglomerates
QCOM,QUALCOMM Incorporated,119.21,133872828971.99998,150560000000,96.23326526,49.22572178,73.9715732,35.21994957,73.97075798,-9.68255171,0.53128689,5.51425031,57.98865713,33.30960347,35.14866757,30.51897202,Semiconductors
T,AT&T Inc.,18.48,131688476738,284946000000,-7.3757057,-5.36758062,467.99520128,4.53382604,487.96367852,-2.57029371,17.11026616,20.46936115,40.85002414,16.93561755,19.14752539,14.55650131,Major Telecommunications
NFLX,"Netflix, Inc.",295.72,131601465113.99998,116347000000,-106.84108163,20.15343653,84.80327653,27.21703272,85.2769343,-55.92513473,28.7474422,25.60312606,39.61868362,18.15756551,18.35058605,16.0267488,Internet Software/Services
ELV,"Elevance Health, Inc.",543.65,129838617350.99998,134762000000,-24.7232854,,37.56535475,,33.50831146,25.69070354,20.8836413,19.68342726,,5.76259242,5.2301187,4.05423923,Managed Health Care
LMT,Lockheed Martin Corporation,484.87,127071806789,118555000000,19.97818295,7.40246407,-6.31455921,8.68717949,-7.5808576,46.93030303,22.07200403,25.51968728,12.98940082,12.98940082,10.78458638,9.06801397,Aerospace & Defense
IBM,International Business Machines Corporation,138.51,125230543225.00002,151582000000,-31.0995571,0.65907729,1.82039808,2.11115898,2.73703041,15.85183872,13.8594328,16.58109587,53.57243157,13.27705549,1.19951101,2.26983629,Information Technology Services
CVS,CVS Health Corporation,94.19,123655341788,181774000000,17.25498957,5.91951206,8.93749428,5.87418868,10.18247667,6.54977376,-3.93676696,-1.23728636,17.33388791,4.91122491,3.47366642,2.65382916,Drugstore Chains
LOW,"Lowe's Companies, Inc.",198.73,123351819940,154061000000,-10.77986606,13.11462756,55.26587506,7.88343449,44.70831182,-14.69350962,3.26318524,5.81438688,31.49215867,12.75683495,11.74521972,8.80472157,Home Improvement Chains
UNP,Union Pacific Corporation,198.65,122130183567.00002,154806000000,8.60502405,14.95420151,26.35781936,14.54406798,21.94802767,-17.34969836,0.19165784,1.96591726,45.98821025,40.71147863,37.37104962,28.94629114,Railroads
INTU,Intuit Inc.,431.79,121708594891.00002,132899000000,17.29865246,17.15155616,-3.68722776,26.90927729,0.19398642,-29.57840659,6.86284215,11.48146236,77.82492535,20.61134685,19.97485463,16.23448059,Packaged Software
INTC,Intel Corporation,29.07,119971888741,123265000000,-54.26272189,-6.25174046,-1.63214062,0.4584514,-4.93325039,-39.61362692,8.2278481,12.80558789,46.55593903,11.53868277,19.78429681,19.12712108,Semiconductors
DE,Deere & Company,396.85,119777114307,151158000000,6.60865962,51.19097367,118.55176541,33.53311063,116.75754271,16.96828578,17.34180958,18.85650963,29.61696306,17.7983667,16.28114248,12.78447954,Trucks/Construction/Farm Machinery
GS,"Goldman Sachs Group, Inc. (The)",341.82,117396979947,342967000000,-216.22791825,,140.25210865,,128.72396659,-17.03398058,16.26530612,16.64221123,,29.91788463,29.23272909,23.87715402,Investment Banks/Brokers
CAT,"Caterpillar, Inc.",219.34,115791584152,116779000000,12.20322887,25.74203994,116.48550725,25.11587232,116.4442962,11.13700851,33.33738602,33.67869332,32.04521371,13.84846344,16.27516779,13.01836807,Trucks/Construction/Farm Machinery
MDT,Medtronic plc.,86.82,115397080266,137975000000,22.37461617,19.60903351,40.00826074,10.81817676,39.76705491,-29.0106296,6.64537526,7.51702786,62.40102993,21.07177341,18.43579015,16.75249437,Medical Specialties
BX,Blackstone Inc.,93.18,112426260918.99998,81284100000,-560.29356996,390.02712256,442.54935966,95.94891868,460.32182122,-32.29673763,12.79506113,11.32616487,99.90136665,42.13931773,40.73634436,16.90314921,Investment Managers
AXP,American Express Company,150.44,112413684100.00002,113774000000,216.31809339,-1.67765629,166.04810449,7.87800817,156.95024077,-15.67264574,8.62093863,11.51137796,64.83495625,20.90617467,19.01941803,14.43539662,Finance/Rental/Leasing
SPGI,S&P Global Inc.,326.93,106513787623,114379000000,2.06244629,10.7518797,29.4463478,15.16329705,29.28601967,-29.01467778,3.68526212,7.06729982,60.07162908,32.70738554,48.11731681,33.7818217,Financial Publishing/Services
ADP,"Automatic Data Processing, Inc.",242.64,100766374683,97987700000,0.35681202,12.59353897,15.37118192,10.84886722,13.48470271,9.11053152,5.85001963,7.27264689,47.329637,23.30584779,23.18085963,17.93254194,Data Processing Services
BLK,"BlackRock, Inc.",663.75,100560282269.00002,,22.48040314,23.79955332,19.98518151,18.8172043,19.64720195,-27.55719026,14.01308896,20.62041143,80.19769537,37.44743597,36.85216537,30.37518432,Investment Managers
AMD,"Advanced Micro Devices, Inc.",62.01,100104037716.00002,139322000000,314.41441441,138.39953944,24.66324256,82.40165631,26.98795181,-49.52586382,-7.59946357,-2.13068182,43.7940304,17.12087505,16.680571,14.50685947,Semiconductors
SBUX,Starbucks Corporation,87.1,99938540376.00002,111881000000,346.43281807,76.34561578,350.94844048,106.40448032,352.36453733,-23.42183928,2.85781767,3.37051982,20.73944323,14.49859243,16.82295902,13.03628402,Restaurants
PYPL,"PayPal Holdings, Inc.",86.25,99746040343.99998,82531700000,8.90136327,25.71242114,-0.70056497,2.59212198,-0.78534031,-63.60759494,0.48933939,0.2091321,43.22791795,13.64310994,9.70049853,7.82433307,Miscellaneous Commercial Services
GILD,"Gilead Sciences, Inc.",79.27,99354432099,,43.7217345,2.74236833,4964.27104723,3.16892664,4960.97560976,18.84557721,25.82539683,28.49732534,84.0580781,38.41208852,16.78058152,12.3175823,Biotechnology
CI,Cigna Corporation,324.76,99089533733,117877000000,-34.77744166,,-31.46728573,,-36.56892882,52.1979567,16.17241996,17.04328396,,4.72980138,3.85360218,3.05776776,Managed Health Care
CB,Chubb Limited,214.5,89584084258.99998,94490700000,17.56453423,,147.27972791,,141.69261251,12.15686275,19.93961083,17.93490213,,17.65490944,,14.63775024,Property/Casualty Insurance
C,"Citigroup, Inc.",46.13,89580796226,578384000000,-75.74869792,,115.52958674,,98.63313286,-34.8262221,8.31181028,10.70314375,,22.14236596,21.71757503,17.36208159,Investment Banks/Brokers
SYK,Stryker Corporation,229.23,86722454560,88756100000,-1.86379928,23.66391917,24.04985016,22.34662401,24.70293934,-14.45045717,12.08194798,13.17764392,61.393159,20.06920415,13.37568779,11.79306824,Medical Specialties
ISRG,"Intuitive Surgical, Inc.",244.16,86282373511,63311700000,51.83241494,60.61903689,58.56472029,38.80923023,60.72034697,-30.0881915,29.63100611,30.26034998,67.532977,27.05176613,27.23647003,22.52406872,Medical Specialties
BA,Boeing Company (The),143.84,85726223511,115226000000,77.69999493,154.80506581,65.75324097,539.88153998,64.60877621,-30.17475728,12.33989378,18.79748926,6.66384461,-6.35287605,-14.77182071,-13.747741,Aerospace & Defense
GE,General Electric Company,78.33,85588693555,83092500000,4.67571644,51.1745646,-156.80006856,11.52723735,-147.8782453,-24.23832092,20.52623481,26.52237118,27.89056895,4.96133507,-5.70141639,-6.53982089,Industrial Machinery
NOW,"ServiceNow, Inc.",420.4,85088956198.99998,74863500000,31.57586786,37.27405648,93.42217666,28.61049986,94.08791339,-37.39482658,11.08762287,11.33179736,77.80026015,3.48316231,3.584333,2.90504408,Packaged Software
MDLZ,"Mondelez International, Inc.",61.7,84563933248,104051000000,2.41857465,4.88569322,23.3563032,4.3891447,20.95639944,2.11850381,6.39765477,12.52963706,35.50103755,14.59937077,14.8738202,12.9292456,Food: Specialty/Candy
NOC,Northrop Grumman Corporation,548.11,84360789105,85942700000,-25.40727903,-7.91447862,128.80777822,-2.8082375,119.66133584,44.02722304,15.26418169,16.53980269,20.45273801,9.76198591,19.11213361,15.69529652,Aerospace & Defense
TJX,"TJX Companies, Inc. (The)",72.5,84176340942,81158100000,-43.54336551,294.17862269,3524.96644295,80.88952247,3528.62274787,11.848195,18.73566983,16.70959433,27.71587167,9.39208119,9.1865156,6.76935007,Apparel/Footwear Retail
MO,"Altria Group, Inc.",46.31,82995515910.99998,96436600000,1.0056414,6.4149267,-44.32168765,7.02975599,-44.74097331,0.02159827,12.8136419,14.68548787,67.81692523,57.83190759,33.66197864,22.64752791,Tobacco
REGN,"Regeneron Pharmaceuticals, Inc.",750.76,81839090329,62523100000,225.89967557,142.17704918,135.79726763,86.91274698,129.85597176,27.20864821,7.1152392,8.9842786,82.89003852,49.76804341,44.59400568,39.97244637,Pharmaceuticals: Major
MMC,"Marsh & McLennan Companies, Inc.",163.74,81216596776.00002,87800900000,2.18611521,22.9281768,55.59873016,,55.90277778,-2.64002854,8.79011361,9.67914797,,24.39479476,21.1941441,16.20419099,Insurance Brokers/Services
VRTX,Vertex Pharmaceuticals Incorporated,313.89,80500067629,65846899999.99999,-19.54790499,-1.60996091,-12.46636684,22.42063314,-13.62813818,73.23803742,8.50732854,8.40989155,89.13342417,46.7781601,46.67779097,37.94505039,Pharmaceuticals: Major
EOG,"EOG Resources, Inc.",133.69,78348289918,67171700000,220.20312582,192.79222265,864.75150819,835.17420139,871.4548474,44.60789616,26.12264151,19.6545243,53.09077269,45.63390848,27.40810203,21.41035259,Oil & Gas Production
AMAT,"Applied Materials, Inc.",89.72,77186959270,94404600000,41.15907747,60.47347284,63.40636078,42.01877934,62.69687759,-33.32837928,8.09638554,9.50811668,46.83377834,30.82532977,30.51050094,26.48547404,Industrial Machinery
TGT,Target Corporation,167.52,77103198461,92551000000,-35.48755714,25.37585911,63.1180071,13.07328605,59.02014652,-35.13513514,12.02353885,12.89170429,24.04153725,5.40355106,5.00115896,3.9163692,Specialty Stores
PGR,Progressive Corporation (The),129.7,75848556632.00002,,12.51253348,,-41.40543338,,-41.25968517,37.1760973,8.44481605,11.60829533,,,,1.78562875,Property/Casualty Insurance
ABNB,"Airbnb, Inc.",115.21,74736564558,53360500000,429.50623817,122.0021878,92.52947173,93.27032636,92.32157455,-32.30904818,7.97462067,9.68202589,71.83651123,18.71134191,17.57770086,16.91044922,Other Consumer Services
ADI,"Analog Devices, Inc.",144.88,74517806672,94241700000,29.76988759,25.38910241,5.57925529,22.28674647,13.8979702,-15.89457796,2.86119986,3.97588632,49.98236508,24.47893692,17.05927666,17.0003165,Semiconductors
BKNG,Booking Holdings Inc. Common Stock,1871.72,74318972519,69026700000,1351.74129353,196.25570776,1864.9783731,,1874.57627119,-22.84812161,12.62666378,13.90631751,,28.81332787,14.19500205,10.54212754,Other Consumer Services
EL,"Estee Lauder Companies, Inc. (The)",206.44,73717308213,96618700000,-33.23313293,13.60993658,-15.9723915,8.0591973,-16.72473868,-36.64569587,-8.72756212,-4.38165818,75.79926699,20.30448266,17.11869185,13.47617705,Household/Personal Care
DUK,Duke Energy Corporation (Holding Company),94,72370544922,156989000000,-50.43572985,4.63252541,187.29734441,3.51107226,183.805374,-8.22105058,-5.48014077,1.05353687,27.08287047,21.68407021,13.95245501,14.47085833,Electric Utilities
SO,Southern Company (The),66.34,72222552986,133104000000,-36.79927667,3.50151024,-20.64459005,4.60851539,-23.16528398,6.11004479,-8.62258953,-2.44117647,25.53206685,20.55420654,13.89801457,12.1804028,Electric Utilities
ZTS,Zoetis Inc.,153.28,71756276343.00002,85128100000,3.76569038,19.96309963,24.84296024,19.15657245,24.35897436,-26.95386961,1.29526831,3.36502799,68.25515947,35.50969356,32.04502814,26.14133834,Pharmaceuticals: Major
SLB,Schlumberger N.V.,50.45,71537787001,61714100000,92.0131291,67.70833333,117.42060818,90.75630252,117.88362807,55.13530135,46.61435629,40.52924791,21.15979187,17.44212352,13.8715029,11.22464369,Oilfield Services/Equipment
HUM,Humana Inc.,554.83,70215789136.00002,72335200000,-79.76470588,,-10.4556857,,-12.88981289,20.30399618,14.80983322,14.35314001,,4.66762526,4.33359142,3.47638536,Managed Health Care
MMM,3M Company,126.6,69977252819,75988000000,-11.50937689,6.46143437,8.08714327,6.46670512,8.66213984,-28.97615708,11.53202361,14.57013575,44.13727634,13.69023647,21.16966803,18.91433174,Industrial Conglomerates
GD,General Dynamics Corporation,250.72,68834920778.99998,69266000000,17.05292286,0.83815606,4.99281805,1.31225296,2.84180613,20.97466828,14.87217081,18.16939247,16.87860379,10.73414333,10.18585255,8.62335255,Aerospace & Defense
BDX,"Becton, Dickinson and Company",235.26,67095004575,84420300000,25.17405643,29.09698997,152.36008837,25.06268972,139.35926773,-1.50718168,2.65293656,5.5782435,45.98625013,14.08856536,9.78161965,9.02840967,Medical Specialties
OXY,Occidental Petroleum Corporation,71.84,66918377800,91303500000,432.67605634,113.08125503,109.24265335,1624.26303855,115.58896905,115.41229385,21.84531886,16.90805533,43.80433802,33.51283054,34.04229716,32.92921392,Oil & Gas Production
PDD,Pinduoduo Inc.,52.95,66361640268.99999,65416000000,-3.08124235,202.8943151,196.64221866,63.60186284,215.80065918,-41.17973784,-10.28464927,-15.38830297,72.86617374,19.0575787,22.79479999,18.92129794,Internet Retail
BAM,Brookfield Asset Management Inc.,40.19,65983340353.71585,350123522990,-78.40433759,34.17287916,1337.31738384,21.19448714,2886.45977105,-33.94148586,-3.52856457,-1.71191,16.4196149,14.46002949,11.36321135,4.39588909,Investment Managers
PNC,"PNC Financial Services Group, Inc. (The)",162.87,65799478027,115895000000,72.38586156,,-25.20763875,,-24.74680171,-23.88540985,9.92845572,9.00147236,,34.7884121,35.86612616,28.60885901,Major Banks
ITW,Illinois Tool Works Inc.,214.05,65753243617.99998,62802300000,-12.05756515,17.46751284,28.5052371,15.61942517,27.73826458,-3.36343115,15.57151342,18.48879048,39.60358056,23.26086957,22.46163683,17.49360614,Industrial Machinery
FISV,"Fiserv, Inc.",102.6,65153879645.99999,81651600000,-10.93563766,10.54936306,41.69639036,15.0291483,39.24843424,3.9407315,7.4795726,9.65052902,52.67522894,18.33784484,13.48845246,11.985256,Regional Banks
WM,"Waste Management, Inc.",157.91,64818437411,80259000000,37.43647657,20.36688617,22.02205047,14.62196862,21.39037433,1.21138316,-3.69579801,-1.43561575,27.16938429,17.17504244,15.0043722,11.54775989,Environmental Services
HCA,"HCA Healthcare, Inc.",223.66,64195970233.00002,94336900000,-15.86681257,25.52338976,93.66790843,33.26907188,85.2956846,-9.52265372,20.20853488,21.69323685,15.09364548,15.09364548,13.15050167,8.98996656,Hospital/Nursing Management
USB,U.S. Bancorp,42.86,63680705616,82830500000,43.61944883,,66.78103454,,60.49007695,-29.2622545,4.74095797,6.29960317,,32.53026347,32.98124852,25.91186012,Major Banks
CME,CME Group Inc.,174.75,62811520877,64851000000,-9.64616179,-2.29544136,24.17657277,-1.62240719,25.21850656,-19.2355687,-0.93537415,-1.34364591,80.03387848,60.07985642,69.81991974,53.60463006,Investment Banks/Brokers
CL,Colgate-Palmolive Company,74.64,62340385315,74667500000,-16.65155636,-0.17977528,-18.58878296,3.62428269,-19.62894249,-1.66007905,2.03691046,6.24911032,58.24293785,21.76836158,15.89265537,10.98305085,Household/Personal Care
